10000,2500,10,101853,42891,0.140035
10000,2500,60,101853,11942,0.0843767
10000,2500,110,101853,3701,0.073388
10000,2500,160,101853,826,0.0674508
10000,2500,210,101853,814,0.0695522
10000,2500,260,101853,812,0.071891
10000,2500,310,101853,811,0.0741958
10000,2500,360,101853,811,0.0774526
10000,2500,410,101853,811,0.0791557
10000,2500,460,101853,811,0.0809931
10000,2500,510,101853,811,0.0822807
10000,2750,10,102433,43315,0.143177
10000,2750,60,102433,12582,0.0861855
10000,2750,110,102433,4733,0.0757383
10000,2750,160,102433,860,0.0676057
10000,2750,210,102433,825,0.0697855
10000,2750,260,102433,823,0.0725502
10000,2750,310,102433,822,0.074783
10000,2750,360,102433,822,0.0773056
10000,2750,410,102433,822,0.0795492
10000,2750,460,102433,822,0.0816619
10000,2750,510,102433,822,0.0826482
10000,3000,10,102962,43449,0.14513
10000,3000,60,102962,12992,0.0884889
10000,3000,110,102962,5500,0.0781214
10000,3000,160,102962,985,0.0699552
10000,3000,210,102962,838,0.0713307
10000,3000,260,102962,836,0.0740894
10000,3000,310,102962,836,0.0759966
10000,3000,360,102962,836,0.0790847
10000,3000,410,102962,836,0.0810631
10000,3000,460,102962,836,0.0825173
10000,3000,510,102962,836,0.0840504
10000,3250,10,103466,43607,0.145115
10000,3250,60,103466,12978,0.0889451
10000,3250,110,103466,5390,0.078544
10000,3250,160,103466,1013,0.0708073
10000,3250,210,103466,845,0.0715938
10000,3250,260,103466,845,0.0738021
10000,3250,310,103466,844,0.0762829
10000,3250,360,103466,843,0.0795209
10000,3250,410,103466,843,0.0812643
10000,3250,460,103466,843,0.0826944
10000,3250,510,103466,843,0.0848876
10000,3500,10,104017,43856,0.147218
10000,3500,60,104017,13461,0.0899573
10000,3500,110,104017,6204,0.0800461
10000,3500,160,104017,1317,0.0727767
10000,3500,210,104017,863,0.0715371
10000,3500,260,104017,859,0.0744233
10000,3500,310,104017,859,0.0765767
10000,3500,360,104017,859,0.0793492
10000,3500,410,104017,859,0.0816106
10000,3500,460,104017,859,0.082643
10000,3500,510,104017,859,0.0846132
10000,3750,10,114578,61131,0.179612
10000,3750,60,114578,13784,0.0917481
10000,3750,110,114578,6461,0.082117
10000,3750,160,114578,1543,0.0746151
10000,3750,210,114578,881,0.0725846
10000,3750,260,114578,873,0.0767845
10000,3750,310,114578,873,0.0779941
10000,3750,360,114578,873,0.0811372
10000,3750,410,114578,873,0.0839239
10000,3750,460,114578,873,0.0854244
10000,3750,510,114578,873,0.0872013
10000,4000,10,115591,61661,0.181275
10000,4000,60,115591,14514,0.0939879
10000,4000,110,115591,7351,0.083879
10000,4000,160,115591,2177,0.0772977
10000,4000,210,115591,907,0.0724074
